t,id,x,y,rho
0,185,0.24,0.72,1000
0,186,0.28,0.72,1000
0,187,0.32,0.72,1000
0,188,0.36,0.72,1000
0,189,0,0.76,1000
0,190,0.04,0.76,1000
0,191,0.08,0.76,1000
0,192,0.12,0.76,1000
0,193,0.16,0.76,1000
0,194,0.2,0.76,1000
0,195,0.24,0.76,1000
0,196,0.28,0.76,1000
0,197,0.32,0.76,1000
0,198,0.36,0.76,1000
0.02,0,0.04,-5.17968e-08,1000
0.02,1,0.08,-5.17968e-08,1000
0.02,2,0.12,-5.17968e-08,1000
0.02,3,0.16,-5.17968e-08,1000
0.02,4,0.2,-5.17968e-08,1000
0.02,5,0.24,-5.17968e-08,1000
0.02,6,0.28,-5.17968e-08,1000
0.02,7,0.32,-5.17968e-08,1000
0.02,8,0.36,-5.17968e-08,1000
0.02,9,0,0.0399999,1000
0.02,10,0.04,0.0399999,1000
0.02,11,0.08,0.0399999,1000
0.02,12,0.12,0.0399999,1000
0.02,13,0.16,0.0399999,1000
0.02,14,0.2,0.0399999,1000
0.02,15,0.24,0.0399999,1000
0.02,16,0.28,0.0399999,1000
0.02,17,0.32,0.0399999,1000
0.02,18,0.36,0.0399999,1000
0.02,19,0,0.0799999,1000
0.02,20,0.04,0.0799999,1000
0.02,21,0.08,0.0799999,1000
0.02,22,0.12,0.0799999,1000
0.02,23,0.16,0.0799999,1000
0.02,24,0.2,0.0799999,1000
0.02,25,0.24,0.0799999,1000
0.02,26,0.28,0.0799999,1000
0.02,27,0.32,0.0799999,1000
0.02,28,0.36,0.0799999,1000
0.02,29,0,0.12,1000
0.02,30,0.04,0.12,1000
0.02,31,0.08,0.12,1000
0.02,32,0.12,0.12,1000
0.02,33,0.16,0.12,1000
0.02,34,0.2,0.12,1000
0.02,35,0.24,0.12,1000
0.02,36,0.28,0.12,1000
0.02,37,0.32,0.12,1000
0.02,38,0.36,0.12,1000
0.02,39,0,0.16,1000
0.02,40,0.04,0.16,1000
0.02,41,0.08,0.16,1000
0.02,42,0.12,0.16,1000
0.02,43,0.16,0.16,1000
0.02,44,0.2,0.16,1000
0.02,45,0.24,0.16,1000
0.02,46,0.28,0.16,1000
0.02,47,0.32,0.16,1000
0.02,48,0.36,0.16,1000
0.02,49,0,0.2,1000
0.02,50,0.04,0.2,1000
0.02,51,0.08,0.2,1000
0.02,52,0.12,0.2,1000
0.02,53,0.16,0.2,1000
0.02,54,0.2,0.2,1000
0.02,55,0.24,0.2,1000
0.02,56,0.28,0.2,1000
0.02,57,0.32,0.2,1000
0.02,58,0.36,0.2,1000
0.02,59,0,0.24,1000
0.02,60,0.04,0.24,1000
0.02,61,0.08,0.24,1000
0.02,62,0.12,0.24,1000
0.02,63,0.16,0.24,1000
0.02,64,0.2,0.24,1000
0.02,65,0.24,0.24,1000
0.02,66,0.28,0.24,1000
0.02,67,0.32,0.24,1000
0.02,68,0.36,0.24,1000
0.02,69,0,0.28,1000
0.02,70,0.04,0.28,1000
0.02,71,0.08,0.28,1000
0.02,72,0.12,0.28,1000
0.02,73,0.16,0.28,1000
0.02,74,0.2,0.28,1000
0.02,75,0.24,0.28,1000
0.02,76,0.28,0.28,1000
0.02,77,0.32,0.28,1000
0.02,78,0.36,0.28,1000
0.02,79,0,0.32,1000
0.02,80,0.04,0.32,1000
0.02,81,0.08,0.32,1000
0.02,82,0.12,0.32,1000
0.02,83,0.16,0.32,1000
0.02,84,0.2,0.32,1000
0.02,85,0.24,0.32,1000
0.02,86,0.28,0.32,1000
0.02,87,0.32,0.32,1000
0.02,88,0.36,0.32,1000
0.02,89,0,0.36,1000
0.02,90,0.04,0.36,1000
0.02,91,0.08,0.36,1000
0.02,92,0.12,0.36,1000
0.02,93,0.16,0.36,1000
0.02,94,0.2,0.36,1000
0.02,95,0.24,0.36,1000
0.02,96,0.28,0.36,1000
0.02,97,0.32,0.36,1000
0.02,98,0.36,0.36,1000
0.02,99,0,0.4,1000
0.02,100,0.04,0.4,1000
0.02,101,0.08,0.4,1000
0.02,102,0.12,0.4,1000
0.02,103,0.16,0.4,1000
0.02,104,0.2,0.4,1000
0.02,105,0.24,0.4,1000
0.02,106,0.28,0.4,1000
0.02,107,0.32,0.4,1000
0.02,108,0.36,0.4,1000
0.02,109,0,0.44,1000
0.02,110,0.04,0.44,1000
0.02,111,0.08,0.44,1000
0.02,112,0.12,0.44,1000
0.02,113,0.16,0.44,1000
0.02,114,0.2,0.44,1000
0.02,115,0.24,0.44,1000
0.02,116,0.28,0.44,1000
0.02,117,0.32,0.44,1000
0.02,118,0.36,0.44,1000
0.02,119,0,0.48,1000
0.02,120,0.04,0.48,1000
0.02,121,0.08,0.48,1000
0.02,122,0.12,0.48,1000
0.02,123,0.16,0.48,1000
0.02,124,0.2,0.48,1000
