velocity_mps,angle_deg,range_m,max_height_m,time_of_flight_s,impact_velocity_mps,impact_angle_deg,v0x_mps,v0y_mps
3,0,2.7091418459143854,4.0,0.9030472819714618,9.353074360871938,71.29170319138652,3.0,0.0
3,1,2.7247854809906875,4.000139718573601,0.9084001807443582,9.353074360871938,71.29465830588374,2.999543085469174,0.052357219311850535
3,2,2.7396789715649916,4.0005587040688475,0.9137829757542371,9.353074360871936,71.30352243968998,2.998172481057287,0.1046984901075029
3,3,2.75380276736527,4.001256446016451,0.9191939791907091,9.353074360871936,71.3182919651277,2.9958886042637216,0.1570078687288315
3,4,2.767137320600679,4.002232094325327,0.9246314626380646,9.353074360871938,71.33896084065894,2.9926921507794724,0.2092694212323759
3,5,2.779663111711669,4.003484460318301,0.9300936577412143,9.353074360871938,71.36552061775605,2.988584094275237,0.2614672282429745
3,6,2.7913606758517475,4.005012018180319,0.9355787569389817,9.353074360871936,71.39796045048863,2.9835656861048196,0.3135853898029604
3,7,2.802210630061102,4.006812906817432,0.9410849142639302,9.353074360871938,71.43626710779452,2.977638454923966,0.3656080302154424
3,8,2.8121937010893423,4.008884932124239,0.9466102462077328,9.35307436087194,71.48042498839442,2.9708042062247113,0.41751930288019634
3,9,2.821290753821807,4.011225569657075,0.9521528326509084,9.353074360871934,71.53041613830031,2.9630650217854133,0.46930339512069263
3,10,2.8294828202611684,4.0138319677096534,0.9577107178555736,9.353074360871938,71.58622027086065,2.954423259036624,0.520944533000791
3,11,2.8367511290134884,4.016700950787435,0.9632819115196977,9.353074360871938,71.64781478927628,2.944881550342992,0.5724269861296344
3,12,2.84307713522546,4.0198290234764675,0.9688643898911866,9.353074360871936,71.71517481151427,2.934442802201417,0.623735072453278
3,13,2.8484425509172953,4.023212374702026,0.974456096939969,9.353074360871938,71.78827319753911,2.9231101943557056,0.674853163031595
3,14,2.8528293756535827,4.026846882371806,0.9800549455861142,9.353074360871936,71.86708057877436,2.9108871788279895,0.7257656867990032
3,15,2.856219927492547,4.0307281183980646,0.9856588189818828,9.353074360871938,71.95156538970157,2.897777478867205,0.7764571353075622
3,16,2.858596874152359,4.034851354092563,0.9912655718454793,9.353074360871938,72.04169390149717,2.8837850878149567,0.8269120674509975
3,17,2.8599432643316103,4.039211565927743,0.9968730318441699,9.353074360871936,72.1374302576036,2.868914267889106,0.8771151141682103
3,18,2.8602425591197096,4.043803441657122,1.0024790010243212,9.353074360871938,72.2387365111254,2.8531695488854605,0.9270509831248421
3,19,2.8594786634317795,4.048621386787449,1.008081257285823,9.353074360871938,72.34557266393756,2.8365557267979504,0.9767044633714701
3,20,2.857635957401729,4.05365953139473,1.013677555898281,9.353074360871938,72.45789670738985,2.8190778623577253,1.0260604299770062
3,21,2.8546993276664208,4.058911737275827,1.019265631056293,9.353074360871938,72.57566466448742,2.8007412794916053,1.0751038486359008
3,22,2.8506541984733182,4.064371605426914,1.0248431974710643,9.353074360871936,72.69883063342638,2.7815515637003623,1.123819780247736
3,23,2.8454865625437398,4.070032483839679,1.030407951995572,9.353074360871936,72.82734683236076,2.761514560357321,1.1721933854678213
3,24,2.839183011623691,4.075887475605767,1.035957575280449,9.353074360871938,72.96116364527633,2.7406363729278027,1.2202099292274007
3,25,2.831730766654427,4.081929447319601,1.041489733457741,9.353074360871936,73.10022966884584,2.7189233611099497,1.2678547852220983
3,26,2.8231177074951797,4.088151037769345,1.0470020798496678,9.353074360871938,73.244491760141,2.6963821388975013,1.3151134403672322
3,27,2.8133324021310315,4.094544666905397,1.0524922566995196,9.353074360871938,73.39389508507564,2.673019572565104,1.3619714992186402
3,28,2.8023641352996735,4.101102545075516,1.0579578969218322,9.353074360871938,73.54838316745693,2.648842778576781,1.4084146883576725
3,29,2.790202936471669,4.1078166825153195,1.0633966258689886,9.353074360871938,73.70789793852192,2.623859121418187,1.4544288607390112
3,30,2.7768396071200065,4.114678899082569,1.0688060631114336,9.35307436087194,73.87237978683925,2.598076211353316,1.4999999999999998
3,31,2.762265747215996,4.12168083422342,1.0741838242287136,9.353074360871936,74.0417676084579,2.571501902106337,1.5451142247301624
3,32,2.7464737808900654,4.128813957158469,1.0795275226086025,9.353074360871936,74.21599885718797,2.544144288469278,1.5897577926996147
3,33,2.7294569811976177,4.136069577276192,1.0848347712516186,9.353074360871936,74.3950095949012,2.516011703836272,1.6339171050450814
3,34,2.711209493931949,4.143438854721121,1.0901031845783022,9.353074360871936,74.57873454174292,2.4871127176651253,1.6775787104122406
3,35,2.6917263604281505,4.150912811163837,1.095330380236682,9.353074360871938,74.76710712615086,2.4574561328669753,1.7207293090531381
3,36,2.6710035393040163,4.158482340739691,1.1005139809074318,9.353074360871938,74.96005953457974,2.4270509831248424,1.7633557568774194
3,37,2.6490379270861895,4.16613822114289,1.10565161610429,9.353074360871938,75.15752276083602,2.3959065301418785,1.8054450694561448
3,38,2.6258273776721355,4.173871124862461,1.1107409239674013,9.353074360871938,75.35942665493087,2.364032260820166,1.846984425976975
3,39,2.601370720580947,4.1816716305463855,1.1157795530473118,9.353074360871936,75.56569997136441,2.3314378843709127,1.8879611731495123
3,40,2.57566777794858,4.189530234480062,1.1207651640774496,9.353074360871934,75.77627041675935,2.298133329356934,1.9283628290596178
3,41,2.5487193802257164,4.197437362165123,1.1256954317330012,9.353074360871938,75.991064696767,2.264128740668316,1.9681770869715218
3,42,2.520527380539197,4.205383379984483,1.1305680463741894,9.35307436087194,76.2100085621738,2.229434476432183,2.0073918190765747
